px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	6.90965e-310
0.447976	-0.446598	0	0	0	0	0	0	0	0	0	1.12229
1.52914	-0.130164	0.636566	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.38311
1.63197	0.034362	1.71699	-0.00423904	0.00231996	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	6.77343
3.87233	-0.127694	2.1503	-0.208425	0.0044231	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.05627
3.94919	0.197957	2.37534	0.231331	0.0218594	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	6.01306
6.83712	0.414695	2.87484	-0.138052	-0.307383	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.4259
6.75201	0.495181	2.63406	-0.055963	-0.246153	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.82757
9.07628	0.58255	2.57556	0.0395335	-0.0372654	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.263733
9.03046	0.890603	2.56729	0.222242	0.0745388	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4.75258
11.5616	1.65977	2.8379	0.375277	0.126099	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.23442
11.5553	1.45436	2.6177	0.24822	0.0589235	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.29051
13.6067	2.30855	2.40837	0.450691	0.153918	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.196821
13.6639	2.0231	2.53059	0.251664	0.0042355	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	4.2612
16.6018	2.89563	3.3227	0.284105	0.0225806	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.53348
16.5218	2.88804	2.95122	0.308689	0.058492	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.36061
19.0135	3.70795	2.88377	0.325078	0.0310229	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.0172197
19.0585	3.7978	2.68619	0.373503	0.0769783	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.82445
21.3305	4.73374	2.68229	0.402528	0.0455696	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.00638424
21.3993	4.70701	2.85882	0.362784	0.00949652	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.89336
24.0674	5.57043	3.02639	0.259682	-0.0635601	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.129877
24.1318	5.77235	3.16563	0.354786	-0.00194954	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.69931
26.613	6.95912	3.05086	0.488577	0.0860885	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.0968441
26.6069	6.92678	3.1033	0.468114	0.066655	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.128494
29.5656	8.0877	3.38632	0.292454	-0.0916921	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.464855
29.5128	8.20528	3.16832	0.360818	-0.044018	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	1.24881
31.948	9.86857	3.14468	0.725906	0.220365	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.44827
31.961	9.65063	3.02469	0.623259	0.1672	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	3.59006
34.6007	10.7109	2.92219	0.286022	-0.161794	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0.824779
34.6695	10.8232	3.06846	0.310221	-0.146296	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.99587
37.1464	12.0781	3.01417	0.519899	0.0809022	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.339515
37.2046	12.1587	3.16202	0.547355	0.0911777	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.71929
40.3021	13.4652	3.51706	0.274538	-0.145431	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.852962
40.1787	13.5915	3.13958	0.351957	-0.104536	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	3.45745
42.7689	14.8227	3.12718	0.474126	0.0411822	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.135301
42.7091	14.9257	3.21286	0.529712	0.0706227	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	1.34187
45.3499	16.5497	3.34755	0.56246	0.0460997	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0651262
45.4175	16.5047	3.25453	0.531464	0.0375839	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.08983
48.1538	17.2965	3.05005	0.171103	-0.217049	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.473374
48.0769	17.421	2.89397	0.232393	-0.189887	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	2.19867
50.6155	19.0454	3.00601	0.779871	0.282134	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.55015
50.6325	18.9363	3.10002	0.697207	0.211176	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	1.29366
53.6965	19.9095	3.10906	0.110428	-0.303158	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.12971
53.6585	19.8974	2.94583	0.0988191	-0.329899	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.365412
56.044	21.067	2.61857	0.520179	0.148949	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	1.73122
56.0172	21.0473	2.7297	0.49078	0.119949	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.418989
58.6456	21.7916	2.87928	0.147281	-0.176371	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.667738
58.6203	21.8652	2.92272	0.196834	-0.141796	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.708046
60.8852	22.7784	2.66353	0.414128	0.0851531	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.477417
60.8708	22.7376	2.72485	0.38778	0.0661427	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.385498
63.3741	23.413	2.80741	0.201221	-0.0935452	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.18482
63.4302	23.4982	2.66953	0.218749	-0.096269	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.60819
66.3153	23.989	3.13478	0.143785	-0.0817651	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.617009
66.2068	23.9851	2.55604	0.118227	-0.146651	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.70996
68.2727	24.353	2.33341	0.166848	-0.0259428	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.190357
68.3531	24.416	2.55549	0.209273	0.0109488	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.17417
70.8171	24.8818	2.74894	0.205062	0.00184414	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.104499
70.7963	24.818	2.42513	0.15168	-0.0495415	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.92658
72.8982	24.7229	2.32089	-0.120946	-0.187752	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.164922
72.9241	24.8049	2.35058	-0.0690994	-0.156496	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	1.38637
74.999	25.24	2.21073	0.287092	0.1589	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.722697
74.9905	25.2131	2.12974	0.270214	0.147463	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.165085
77.114	24.9569	2.16804	-0.304108	-0.292688	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.22858
77.1077	25.0369	2.06114	-0.280676	-0.310601	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	1.4467
79.0876	25.0106	2.04832	0.0287416	0.0744815	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.3181
79.0921	24.9992	1.96273	0.00971828	0.0476091	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.188936
80.8108	24.8735	1.92266	-0.0460796	-0.0145244	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0337351
80.8602	24.8595	1.76852	-0.0914672	-0.0752223	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.28532
82.608	24.6367	1.99434	-0.116367	-0.0441298	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.125457
